timestamp,s_id,Available,Charging,Down,Offline,Passive,latitude,longitude,zipcode,taux_occup,taux_hs
2020-01-22 00:00:00+00:00,S1,1.0,0.25,0.0,0.0,1.75,48.855667,2.354089,75004.0,0.6666666666666666,0.0
2020-01-22 00:00:00+00:00,S10,1.0,1.0,0.0,0.0,1.0,48.86424,2.397724,75020.0,0.6666666666666666,0.0
2020-01-22 00:00:00+00:00,S11,1.0,0.0,0.0,0.0,2.0,48.861016,2.28308,75016.0,0.6666666666666666,0.0
2020-01-22 00:00:00+00:00,S12,0.75,0.75,0.0,0.75,0.75,48.824388,2.336857,75014.0,0.6666666666666666,0.25
2020-01-22 00:00:00+00:00,S15,0.75,2.0,0.0,0.0,0.25,48.846295,2.3748774000000594,75012.0,0.75,0.0
2020-01-22 00:00:00+00:00,S16,1.5,0.5,0.0,0.0,1.0,48.889731,2.33891,75018.0,0.5,0.0
2020-01-22 00:00:00+00:00,S17,3.0,0.0,0.0,0.0,0.0,48.8452653,2.4112383000000364,75012.0,0.0,0.0
2020-01-22 00:00:00+00:00,S18,1.5,0.0,0.0,0.0,1.5,48.846761,2.268339,75016.0,0.5,0.0
2020-01-22 00:00:00+00:00,S19,3.0,0.0,0.0,0.0,0.0,48.877409,2.392178,75019.0,0.0,0.0
2020-01-22 00:00:00+00:00,S2,3.0,0.0,0.0,0.0,0.0,48.878897,2.355064,75010.0,0.0,0.0
2020-01-22 00:00:00+00:00,S24,2.0,1.0,0.0,0.0,0.0,48.841742,2.375639,75012.0,0.3333333333333333,0.0
2020-01-22 00:00:00+00:00,S27,2.75,0.25,0.0,0.0,0.0,48.86003,2.34046,75001.0,0.08333333333333333,0.0
2020-01-22 00:00:00+00:00,S28,3.0,0.0,0.0,0.0,0.0,48.864719,2.359043,75003.0,0.0,0.0
2020-01-22 00:00:00+00:00,S29,2.5,0.5,0.0,0.0,0.0,48.854057,2.34556,75004.0,0.16666666666666666,0.0
2020-01-22 00:00:00+00:00,S3,1.0,0.0,0.0,0.0,2.0,48.876162,2.286403,75016.0,0.6666666666666666,0.0
2020-01-22 00:00:00+00:00,S30,1.5,0.5,0.0,0.0,1.0,48.845715,2.345032,75005.0,0.5,0.0
2020-01-22 00:00:00+00:00,S31,2.0,1.0,0.0,0.0,0.0,48.85104,2.345493,75005.0,0.3333333333333333,0.0
2020-01-22 00:00:00+00:00,S33,3.0,0.0,0.0,0.0,0.0,48.8524588,2.3414834000000155,75006.0,0.0,0.0
2020-01-22 00:00:00+00:00,S34,0.0,0.0,0.0,3.0,0.0,48.85212550000001,2.331345899999974,75006.0,0.6666666666666666,1.0
2020-01-22 00:00:00+00:00,S35,0.75,0.0,0.0,0.0,2.25,48.849911,2.307126,75007.0,0.75,0.0
2020-01-22 00:00:00+00:00,S36,1.25,1.75,0.0,0.0,0.0,48.857552,2.30437,75007.0,0.5833333333333334,0.0
2020-01-22 00:00:00+00:00,S37,2.0,0.0,0.0,0.0,1.0,48.857124,2.327753,75007.0,0.3333333333333333,0.0
